"titulo","resumen","enlace","fecha","imagen","autor"
"Improving Firefox Stability in the Enterprise by Reducing DLL Injection","Beginning in version 138, Firefox will offer an alternative to DLL injection for Data Loss Prevention (DLP) deployments in enterprise environments. DLL Injection DLL injection into Firefox is a topic we’ve covered on the Hacks blog before. In 2023, we blogged about the Firefox capability to let users block third-party DLLs from being loaded. We […]","https://hacks.mozilla.org/2025/03/improving-firefox-stability-in-the-enterprise-by-reducing-dll-injection/","March 25, 2025","https://hacks.mozilla.org/wp-content/uploads/2021/10/biophoto-72x72.png","Haik Aftandilian"
"Launching Interop 2025","Interop 2025 continues the mission to make the web more consistent across browsers, building on 2024’s 95% interoperability score. This year, 19 focus areas target key developer needs and long-standing issues, including WebRTC improvements, Storage Access API, and CSS Zoom.","https://hacks.mozilla.org/2025/02/interop-2025/","February 13, 2025","https://hacks.mozilla.org/wp-content/uploads/2020/11/ravengfairy006-72x72.jpg","James Graham"
"Introducing Uniffi for React Native: Rust-Powered Turbo Modules","Mozilla and Filament have introduced Uniffi for React Native, a tool that allows developers to leverage the safety and performance benefits of Rust in cross-platform React Native apps.","https://hacks.mozilla.org/2024/12/introducing-uniffi-for-react-native-rust-powered-turbo-modules/","December 4, 2024","https://secure.gravatar.com/avatar/dcea6b39c498494e270e1352fd9efa38?s=72&d=mm&r=g","Mark Mayo"
"Llamafile v0.8.14: a new UI, performance gains, and more","Discover the latest release of Llamafile 0.8.14, an open-source AI tool by Mozilla Builders. With a new command-line chat interface, enhanced performance, and support for powerful models, Llamafile makes it easy to run large language models (LLMs) on your own hardware. Learn more about the updates and how to get involved with this cutting-edge project.","https://hacks.mozilla.org/2024/10/llamafile-v0-8-14-a-new-ui-performance-gains-and-more/","October 16, 2024","https://hacks.mozilla.org/wp-content/uploads/2024/10/cropped-stephen-hood-headshot-72x72.png","Stephen Hood"
"0Din: A GenAI Bug Bounty Program – Securing Tomorrow’s AI Together","As AI continues to evolve, so do the threats against it. As these GenAI systems become more sophisticated and widely adopted, ensuring their security and ethical use becomes paramount. 0Din is a groundbreaking GenAI bug bounty program dedicated specifically to help secure GenAI systems and beyond. In this blog, you'll learn about 0Din, how it works, and how you can participate and make a difference in securing our AI future.","https://hacks.mozilla.org/2024/08/0din-a-genai-bug-bounty-program-securing-tomorrows-ai-together/","August 8, 2024","https://secure.gravatar.com/avatar/28bd0fd405165ce1f924b262aad30e49?s=72&d=mm&r=g","Marco Figueroa"
"Announcing Official Puppeteer Support for Firefox","We’re pleased to announce that, as of version 23, the Puppeteer browser automation library now has first-class support for Firefox. This means that it’s now easy to write automation and perform end-to-end testing using Puppeteer, and run against both Chrome and Firefox.","https://hacks.mozilla.org/2024/08/puppeteer-support-for-firefox/","August 7, 2024","https://hacks.mozilla.org/wp-content/uploads/2020/11/ravengfairy006-72x72.jpg","James Graham"
"Snapshots for IPC Fuzzing","Process separation remains one of the most important parts of the Firefox security model and securing our IPC (Inter-Process Communication) interfaces is crucial to keep privileges in the different processes separated. We take a more detailed look at our newest tool for finding vulnerabilities in these interfaces – snapshot fuzzing.","https://hacks.mozilla.org/2024/06/snapshots-for-ipc-fuzzing/","June 27, 2024","https://hacks.mozilla.org/wp-content/uploads/2024/06/cropped-export2-small-square-72x72.jpg","Christian Holler"
"Sponsoring sqlite-vec to enable more powerful Local AI applications","Today we’re proud to announce the next Mozilla Builders project: sqlite-vec. Led by independent developer Alex Garcia, this project brings vector search functionality to the beloved SQLite embedded database. Alex has been working on this problem for a while, and we think his latest approach will have a great impact by providing application developers with a powerful new tool for building Local AI applications.","https://hacks.mozilla.org/2024/06/sponsoring-sqlite-vec-to-enable-more-powerful-local-ai-applications/","June 25, 2024","https://hacks.mozilla.org/wp-content/uploads/2024/10/cropped-stephen-hood-headshot-72x72.png","Stephen Hood"
"Experimenting with local alt text generation in Firefox Nightly","Firefox 130 will introduce an experimental new capability to automatically generate alt-text for images using a fully private on-device AI model. The feature will be available as part of Firefox’s built-in PDF editor, and our end goal is to make it available in general browsing for users with screen readers.","https://hacks.mozilla.org/2024/05/experimenting-with-local-alt-text-generation-in-firefox-nightly/","May 31, 2024","https://hacks.mozilla.org/wp-content/uploads/2024/05/cropped-250019-72x72.jpg","Tarek Ziadé"
"Llamafile’s progress, four months in","When Mozilla’s Innovation group first launched the llamafile project late last year, we were thrilled by the immediate positive response from open source AI developers. It’s become one of Mozilla’s top three most-favorited repositories on GitHub, attracting a number of contributors, some excellent PRs, and a growing community on our Discord server.","https://hacks.mozilla.org/2024/04/llamafiles-progress-four-months-in/","April 25, 2024","https://hacks.mozilla.org/wp-content/uploads/2024/10/cropped-stephen-hood-headshot-72x72.png","Stephen Hood"
"Porting a cross-platform GUI application to Rust","In this blog post, we delve into the motivations for choosing Rust for our crash reporter, outline the unique challenges of designing an application that operates when the main browser has failed, and discuss the new architecture we've implemented. We also share insights into the technical nuances of the implementation, demonstrating how Rust's features are leveraged to handle crashes more effectively and securely.","https://hacks.mozilla.org/2024/04/porting-a-cross-platform-gui-application-to-rust/","April 23, 2024","https://secure.gravatar.com/avatar/96d490ad54610a265a7fcc4d0ac2a3b6?s=72&d=mm&r=g","Alex Franchuk"
"Porting a cross-platform GUI application to Rust","In this blog post, we delve into the motivations for choosing Rust for our crash reporter, outline the unique challenges of designing an application that operates when the main browser has failed, and discuss the new architecture we've implemented. We also share insights into the technical nuances of the implementation, demonstrating how Rust's features are leveraged to handle crashes more effectively and securely.","https://hacks.mozilla.org/2024/04/porting-a-cross-platform-gui-application-to-rust/","April 23, 2024","https://secure.gravatar.com/avatar/96d490ad54610a265a7fcc4d0ac2a3b6?s=72&d=mm&r=g","Alex Franchuk"
"Prototype even faster with the Gradio UI for Figma component library","In the fast-paced world of generative AI, staying ahead means moving swiftly and smartly. That's why we've embraced Gradio, the low-code prototyping toolkit from Hugging Face, as our go-to for bringing new ideas to life.","https://hacks.mozilla.org/2024/04/prototype-even-faster-with-the-gradio-ui-for-figma-component-library/","April 11, 2024","https://secure.gravatar.com/avatar/?s=72&d=mm&r=g","Thomas Lodato"
"Improving Performance in Firefox and Across the Web with Speedometer 3","In collaboration with the other major browser engine developers, Mozilla is thrilled to announce Speedometer 3 today. Like previous versions of Speedometer, this benchmark measures what we think matters most for performance online: responsiveness. But today’s release is more open and more challenging than before, and is the best tool for driving browser performance improvements that we’ve ever seen.","https://hacks.mozilla.org/2024/03/improving-performance-in-firefox-and-across-the-web-with-speedometer-3/","March 11, 2024","https://secure.gravatar.com/avatar/5e699d95460c943a64c4ce3e96ff24fe?s=72&d=mm&r=g","Brian Grinstead"
"Announcing Interop 2024","Following the success of Interop 2023, we are pleased to confirm that the project will continue in 2024 with a new selection of focus areas, representing areas of the web platform where we think we can have the biggest positive impact on users and web developers.","https://hacks.mozilla.org/2024/02/announcing-interop-2024/","February 1, 2024","https://hacks.mozilla.org/wp-content/uploads/2020/11/ravengfairy006-72x72.jpg","James Graham"
"Option Soup: the subtle pitfalls of combining compiler flags","During the Firefox 120 beta cycle, a new crash signature appeared on our radars with significant volume. Engineers working on Firefox, explore the subtle pitfalls of combining compiler flags.","https://hacks.mozilla.org/2024/01/option-soup-the-subtle-pitfalls-of-combining-compiler-flags/","January 29, 2024","https://secure.gravatar.com/avatar/9cdfdfc05249440f57269a0d26487253?s=72&d=mm&r=g","Serge Guelton"
"Puppeteer Support for the Cross-Browser WebDriver BiDi Standard","Puppeteer now supports the next-generation, cross-browser WebDriver BiDi standard. This new protocol makes it easy for web developers to write automated tests that work across multiple browser engines.","https://hacks.mozilla.org/2023/12/puppeteer-webdriver-bidi/","December 12, 2023","https://hacks.mozilla.org/wp-content/uploads/2020/11/ravengfairy006-72x72.jpg","James Graham"
"Firefox Developer Edition and Beta: Try out Mozilla’s .deb package!","A month ago, we introduced our Nightly package for Debian-based Linux distributions. Today, we are proud to announce we made our .deb package available for Developer Edition and Beta!","https://hacks.mozilla.org/2023/11/firefox-developer-edition-and-beta-try-out-mozillas-deb-package/","November 30, 2023","https://secure.gravatar.com/avatar/2cf8ca191d6cf9a10cc90462f9c9258d?s=72&d=mm&r=g","Johan Lorenzo (Mozilla)"
